"Existing","Recommended","onewaysummary","Change","costperm"
"Main Road - Cycling Allowed 0 no no 0","None","Two Way","no change",0
"Minor Road - Cycling Allowed 0 no no 0","None","Two Way","no change",0
"Trunk Road - Cycling Allowed 0 no no 0","None","Two Way","no change",0
"Trunk Road - Cycling Allowed 0 no no 0","None","One Way","no change",0
"Residential Road - Cycling Allowed 0 no no 0","None","Two Way","no change",0
"motorway - Cycling Forbidden 0 no no 0","None","One Way","no change",0
"Shared Path 0 no no 0","None","Not Applicable","no change",0
"Minor Road - Cycling Allowed 0 no no 0","None","One Way","no change",0
"motorway_link - Cycling Forbidden 0 no no 0","None","One Way","no change",0
"Residential Road - Cycling Allowed 0 no no 0","None","One Way","no change",0
"Main Road - Cycling Allowed 0 no no 0","Stepped Cycle Tracks","Two Way","upgrade (both sides)",960
"Main Road - Cycling Allowed 0 no no 0","None","One Way","no change",0
"Main Road - Cycling Allowed 0 no no 0","Segregated Cycle Track","One Way","upgrade (one side)",725
"Main Road - Cycling Allowed 1 share_busway no 0","Segregated Cycle Track","Two Way","upgrade (both sides)",1450
"Main Road - Cycling Allowed 0 no no 0","Segregated Cycle Track","Two Way","upgrade (both sides)",1450
"Trunk Road - Cycling Allowed 0 no no 0","Segregated Cycle Track","One Way","upgrade (one side)",725
"Main Road Link - Cycling Allowed 0 no no 0","None","One Way","no change",0
"Residential Road - Cycling Allowed 0 no no 0","Cycle Lanes","Two Way","upgrade (both sides)",460
"Minor Road - Cycling Allowed 0 no no 0","Cycle Street","Two Way","upgrade (both sides)",15
"Minor Road - Cycling Allowed 0 lane no 0","None","Two Way","downgrade",0
"Minor Road - Cycling Allowed 0 lane no 0","Cycle Lanes","Two Way","upgrade (one side)",180
"Trunk Road Link - Cycling Allowed 0 no no 0","None","One Way","no change",0
"Main Road - Cycling Allowed 0 no no 0","Cycle Lanes","Two Way","upgrade (both sides)",460
"Minor Road - Cycling Allowed 0 no no 0","Segregated Cycle Track","Two Way","upgrade (both sides)",1450
"Main Road - Cycling Allowed 0 no no 0","Stepped Cycle Tracks","One Way","upgrade (one side)",480
"Cycleway 0 no no 0","Segregated Cycle Track on Path","Two Way","upgrade",190
"Cycleway 0 no no 0","Cycle Lane on Path","Two Way","no change",0
"Minor Road - Cycling Allowed 0 no no 0","Cycle Street","One Way","upgrade (one side)",15
