"","roadtype","onewaysummary","junction","sidewalk","leftside","lanes.psv.forward","lanes.forward","lanes.backward","lanes.psv.backward","rightside","count"
"2954396","motorway - Cycling Forbidden","One Way","no","no","None",0,3,0,0,"None",63
"2954398","motorway - Cycling Forbidden","One Way","no","no","None",0,4,0,0,"None",21
"3217222","trunk Road - Cycling Allowed","Two Way","no","both","None",0,2,2,0,"None",77
"3391092","motorway_link - Cycling Forbidden","One Way","no","no","None",0,1,0,0,"None",43
"3391098","motorway - Cycling Forbidden","One Way","no","no","None",0,2,0,0,"None",37
"3391104","motorway_link - Cycling Forbidden","One Way","no","no","None",0,2,0,0,"None",30
"3391107","motorway - Cycling Forbidden","One Way","no","no","None",0,5,0,0,"None",2
"3399171","trunk Road - Cycling Allowed","One Way","roundabout","left","None",0,2,0,0,"None",85
"3399177","trunk Road - Cycling Allowed","One Way","no","both","None",0,2,0,0,"None",283
"3416737","tertiary Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",223
"3416740","tertiary Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",394
"3416742","service Road - Cycling Allowed","Two Way","no","no","None",0,0,0,0,"None",5368
"3416749","unclassified Road - Cycling Allowed","Two Way","no","both","Lane",0,1,1,0,"None",11
"3418635","tertiary Road - Cycling Allowed","One Way","roundabout","left","None",0,1,0,0,"None",65
"3418636","tertiary Road - Cycling Allowed","One Way","no","both","None",0,2,0,0,"None",22
"3418638","trunk Road - Cycling Allowed","One Way","no","left","None",0,3,0,0,"None",15
"3418639","trunk_link Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",46
"3418640","trunk_link Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"None",6
"3418676","secondary Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",276
"3444375","primary Road - Cycling Allowed","One Way","roundabout","left","None",0,1,0,0,"None",44
"3444527","Cycleway","Two Way","no","Not Applicable","Not Applicable",0,0,0,0,"Not Applicable",705
"3445487","service Road - Cycling Allowed","One Way","no","no","None",0,0,0,0,"None",726
"3445489","primary Road - Cycling Allowed","One Way","no","both","None",0,1,0,0,"None",263
"3445574","secondary Road - Cycling Allowed","Two Way","no","both","Lane",0,2,1,0,"Lane",3
"3449747","motorway_link - Cycling Forbidden","One Way","no","no","None",0,3,0,0,"None",7
"3449995","tertiary Road - Cycling Allowed","One Way","no","separate","None",0,1,0,0,"None",8
"3450000","tertiary Road - Cycling Allowed","Two Way","no","no","None",0,1,1,0,"None",9
