roadtype,onewaysummary,junction,sidewalk,leftside,lanes.psv.forward,lanes.forward,lanes.backward,lanes.psv.backward,rightside,count,names,streetmix,sum of lanes
Cycleway,One Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,42,C1,https://streetmix.net/falcs89/4/c1,0
Cycleway,Two Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,705,C2,https://streetmix.net/falcs89/5/c2,0
Living Street,One Way,no,no,None,0,1,0,0,Lane,1,L1,https://streetmix.net/falcs89/18/l1,1
Living Street,Two Way,no,no,None,0,1,1,0,None,43,L2,https://streetmix.net/falcs89/6/l2,2
Main Road - Cycling Allowed,One Way,roundabout,no,None,0,1,0,0,None,135,,,1
Main Road - Cycling Allowed,One Way,roundabout,left,None,0,1,0,0,None,4,,,1
Main Road - Cycling Allowed,One Way,roundabout,no,None,0,3,0,0,None,10,,,3
Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,623,MA1,https://streetmix.net/falcs89/53/ma1,1
Main Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,90,MA1b,https://streetmix.net/falcs89/57/ma1b,1
Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,None,40,MAd1,https://streetmix.net/falcs89/63/ma1d,1
Main Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,Lane,15,,,1
Main Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,None,13,,,1
Main Road - Cycling Allowed,One Way,no,right,None,0,1,0,0,None,6,,,1
Main Road - Cycling Allowed,One Way,no,no,None,1,1,0,0,None,6,,,2
Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,Lane,4,,,1
Main Road - Cycling Allowed,One Way,no,no,share_busway,1,1,0,0,None,4,,,2
Main Road - Cycling Allowed,One Way,no,both,None,1,1,0,0,None,2,,,2
Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,1,None,2,,,2
Main Road - Cycling Allowed,One Way,no,no,share_busway,1,1,0,0,share_busway,2,,,2
Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,Lane,1,,,1
Main Road - Cycling Allowed,One Way,no,left,Lane,0,1,0,0,None,1,,,1
