"value","count","fraction","in_wiki","description","correct"
"lane",2867,0.6336,TRUE,"","lane"
"track",690,0.1525,TRUE,"","track"
"share_busway",445,0.0983,FALSE,"",
"no",227,0.0502,FALSE,"",
"shared_lane",88,0.0194,FALSE,"",
"share_sidewalk",86,0.019,FALSE,"",
"sidepath",24,0.0053,FALSE,"",
"opposite_track",15,0.0033,TRUE,"","opposite_track"
"opposite_lane",14,0.0031,FALSE,"",
"none",13,0.0029,FALSE,"",
"shared",10,0.0022,FALSE,"",
"asl",9,0.002,FALSE,"",
"shared_busway",7,0.0015,FALSE,"",
"service",6,0.0013,FALSE,"",
"designated",5,0.0011,FALSE,"",
"separate",4,9e-04,FALSE,"",
"yes",4,9e-04,FALSE,"",
"sidewalk",4,9e-04,FALSE,"",
"squeezed",2,4e-04,FALSE,"",
"shared_lane;lane",2,4e-04,FALSE,"",
"segregated",1,2e-04,FALSE,"",
"1.25",1,2e-04,FALSE,"",
"share_lane",1,2e-04,FALSE,"",
