"value","count","fraction","in_wiki","description","correct"
"public_footpath",127759,0.6964,FALSE,"",
"public_bridleway",26363,0.1437,FALSE,"",
"civil_parish",8218,0.0448,FALSE,"",
"restricted_byway",4646,0.0253,FALSE,"",
"byway_open_to_all_traffic",4382,0.0239,FALSE,"",
"permissive_footpath",2853,0.0156,FALSE,"",
"unclassified_highway",849,0.0046,FALSE,"",
"permissive_bridleway",662,0.0036,FALSE,"",
"access_land",412,0.0022,FALSE,"",
"Historic Mill",286,0.0016,FALSE,"",
"bridleway",204,0.0011,FALSE,"",
"non_metropolitan_district",196,0.0011,FALSE,"",
"public_byway",182,0.001,FALSE,"",
"quiet_lane",149,8e-04,FALSE,"",
"public_right_of_way",148,8e-04,FALSE,"",
"adopted_footway",122,7e-04,FALSE,"",
"Historic mill",119,6e-04,FALSE,"",
"public_cycleway",118,6e-04,FALSE,"",
"millennium_green",98,5e-04,FALSE,"",
"local_nature_reserve",89,5e-04,FALSE,"",
"Holiday Chalet",81,4e-04,FALSE,"",
"byway",80,4e-04,FALSE,"",
"unclassified_highway;restricted_byway",73,4e-04,FALSE,"",
"community",72,4e-04,FALSE,"",
"site_of_special_scientific_interest",63,3e-04,FALSE,"",
"core_path",63,3e-04,FALSE,"",
"public_highway",52,3e-04,FALSE,"",
"Main river",51,3e-04,FALSE,"",
"unclassified_county_road",50,3e-04,FALSE,"",
"Former mill lade",48,3e-04,FALSE,"",
"Pond",47,3e-04,FALSE,"",
"Dry_Stone",47,3e-04,FALSE,"",
"unclassified_highway;public_footpath",45,2e-04,FALSE,"",
"unitary_authority",42,2e-04,FALSE,"",
"footpath",41,2e-04,FALSE,"",
"The Co-operative Food",40,2e-04,FALSE,"",
"open_access_land",40,2e-04,FALSE,"",
"unmade_road",38,2e-04,FALSE,"",
"primary",38,2e-04,FALSE,"",
"public_footway",38,2e-04,FALSE,"",
"permissive",37,2e-04,FALSE,"",
"adopted",36,2e-04,FALSE,"",
"ORPA",36,2e-04,FALSE,"",
"H.41",33,2e-04,FALSE,"",
"C43",30,2e-04,FALSE,"",
"metropolitan_district",30,2e-04,FALSE,"",
"Arun Valley Line",29,2e-04,FALSE,"",
"national_nature_reserve",29,2e-04,FALSE,"",
"public_footpath;permissive_bridleway",28,2e-04,FALSE,"",
"towpath",28,2e-04,FALSE,"",
