"value","count","fraction","in_wiki","description","correct"
"sidewalk",15838,0.4297,TRUE,"Sidewalks as separate ways","sidewalk"
"crossing",12441,0.3376,TRUE,"Crossings as separate ways","crossing"
"both",3481,0.0945,FALSE,"",
"none",2386,0.0647,FALSE,"",
"left",1526,0.0414,FALSE,"",
"right",520,0.0141,FALSE,"",
"no",430,0.0117,FALSE,"",
"yes",45,0.0012,FALSE,"",
"pavement",44,0.0012,FALSE,"",
"signpost",23,6e-04,FALSE,"",
"residential",14,4e-04,FALSE,"",
"footway",11,3e-04,FALSE,"",
"indoor",9,2e-04,FALSE,"",
"boardwalk",9,2e-04,FALSE,"",
"crosing",9,2e-04,FALSE,"",
"island",6,2e-04,FALSE,"",
"ramp",5,1e-04,FALSE,"",
"separate",4,1e-04,FALSE,"",
"crosssing",3,1e-04,FALSE,"",
"sidewalk_link",3,1e-04,FALSE,"",
"2",3,1e-04,FALSE,"",
"designated",3,1e-04,FALSE,"",
"stepping_stones",3,1e-04,FALSE,"",
"Cut Pound",3,1e-04,FALSE,"",
"path",3,1e-04,FALSE,"",
"public_footpath",2,1e-04,FALSE,"",
"permissive",2,1e-04,FALSE,"",
"construction",2,1e-04,FALSE,"",
"unknown",2,1e-04,FALSE,"",
"lane",2,1e-04,FALSE,"",
"alley",2,1e-04,FALSE,"",
"sidewalks",2,1e-04,FALSE,"",
"crossing; sidewalk",2,1e-04,FALSE,"",
"asphalt",2,1e-04,FALSE,"",
"walkway",1,0,FALSE,"",
"desire_line",1,0,FALSE,"",
"footpath",1,0,FALSE,"",
"right; both",1,0,FALSE,"",
"crossinh",1,0,FALSE,"",
"crosisng",1,0,FALSE,"",
"field_margin",1,0,FALSE,"",
"field_edge",1,0,FALSE,"",
"Four Seasons Walkway",1,0,FALSE,"",
"subway",1,0,FALSE,"",
"desire",1,0,FALSE,"",
"residetial",1,0,FALSE,"",
"covered",1,0,FALSE,"",
"disabled_access_ramp",1,0,FALSE,"",
