"value","count","fraction","in_wiki","description","correct"
"30 mph",310568,0.4864,FALSE,"",
"20 mph",130014,0.2036,FALSE,"",
"60 mph",72934,0.1142,FALSE,"",
"40 mph",49720,0.0779,FALSE,"",
"70 mph",27872,0.0436,FALSE,"",
"50 mph",18325,0.0287,FALSE,"",
"10 mph",5550,0.0087,FALSE,"",
"5 mph",4309,0.0067,FALSE,"",
"15 mph",3398,0.0053,FALSE,"",
"100 mph",1675,0.0026,FALSE,"",
"90 mph",1539,0.0024,FALSE,"",
"25 mph",1537,0.0024,FALSE,"",
"75 mph",1127,0.0018,FALSE,"",
"125 mph",1110,0.0017,FALSE,"",
"110 mph",1026,0.0016,FALSE,"",
"no",899,0.0014,TRUE,"","no"
"35 mph",833,0.0013,FALSE,"",
"30",660,0.001,TRUE,"","30"
"80 mph",556,9e-04,FALSE,"",
"85 mph",552,9e-04,FALSE,"",
"signals",465,7e-04,TRUE,"","signals"
"55 mph",427,7e-04,FALSE,"",
"45 mph",408,6e-04,FALSE,"",
"15",361,6e-04,FALSE,"",
"65 mph",303,5e-04,FALSE,"",
"20",286,4e-04,TRUE,"","20"
"none",194,3e-04,TRUE,"","none"
"national",175,3e-04,FALSE,"",
"115 mph",149,2e-04,FALSE,"",
"50",144,2e-04,TRUE,"","50"
"300",135,2e-04,FALSE,"",
"10",135,2e-04,TRUE,"","10"
"95 mph",130,2e-04,FALSE,"",
"5",110,2e-04,FALSE,"",
"40",105,2e-04,TRUE,"","40"
"60mph",89,1e-04,FALSE,"",
"230",80,1e-04,FALSE,"",
"5 knots",50,1e-04,FALSE,"",
"105 mph",45,1e-04,FALSE,"",
"120 mph",43,1e-04,FALSE,"",
"4 mph",38,1e-04,FALSE,"",
"80",36,1e-04,TRUE,"","80"
"12 mph",34,1e-04,FALSE,"",
"60",29,0,TRUE,"","60"
"30mph",27,0,FALSE,"",
"48",21,0,FALSE,"",
"64",21,0,FALSE,"",
"38 mph",21,0,FALSE,"",
"8",20,0,FALSE,"",
"70",18,0,TRUE,"","70"
"45",17,0,FALSE,"",
"50  mph",17,0,FALSE,"",
"165",15,0,FALSE,"",
"25",14,0,FALSE,"",
"40mph",12,0,FALSE,"",
"9.75 mph",12,0,FALSE,"",
"30 (20 in places)",11,0,FALSE,"",
"3 mph",8,0,FALSE,"",
"35",7,0,FALSE,"",
"20mph",6,0,FALSE,"",
"130",6,0,TRUE,"","130"
"16",6,0,FALSE,"",
"32",5,0,FALSE,"",
"90mph",5,0,FALSE,"",
"29 mph",5,0,FALSE,"",
"100",5,0,TRUE,"","100"
"5mph",4,0,FALSE,"",
"10mph",4,0,FALSE,"",
"110",4,0,FALSE,"",
"112",4,0,FALSE,"",
"4",4,0,FALSE,"",
"7",4,0,FALSE,"",
"2 mph",4,0,FALSE,"",
"8 mph",3,0,FALSE,"",
"102 mph",3,0,FALSE,"",
"walk",3,0,TRUE,"","walk"
"96",3,0,FALSE,"",
"5  mph",3,0,FALSE,"",
"6 mph",2,0,FALSE,"",
"30 mph;40 mph",2,0,FALSE,"",
"nsl",2,0,FALSE,"",
"30 mph;national",2,0,FALSE,"",
"42",2,0,FALSE,"",
"40 mph;50 mph",2,0,FALSE,"",
"60 mph;50 mph",2,0,FALSE,"",
"GB:nsl_single",2,0,FALSE,"",
"40 mph; 30 mph",2,0,FALSE,"",
"55",2,0,FALSE,"",
"160",2,0,FALSE,"",
"9 mph",2,0,FALSE,"",
"10 knots",2,0,FALSE,"",
"11",2,0,FALSE,"",
"40 mph;60 mph",2,0,FALSE,"",
"6",2,0,FALSE,"",
"12.8",2,0,FALSE,"",
"inference",2,0,FALSE,"",
"20 mph;30 mph",1,0,FALSE,"",
"50 mph;40 mph;30 mph",1,0,FALSE,"",
"2o",1,0,FALSE,"",
"39 mph",1,0,FALSE,"",
"implicit",1,0,FALSE,"",
"30 mph; 40 mph",1,0,FALSE,"",
"Variable 30/40",1,0,FALSE,"",
"16.09",1,0,FALSE,"",
"variable",1,0,FALSE,"",
"65",1,0,FALSE,"",
">5",1,0,FALSE,"",
"1 mph",1,0,FALSE,"",
"1022 mph",1,0,FALSE,"",
"66 mph",1,0,FALSE,"",
"Advisory 20",1,0,FALSE,"",
"ambiguous",1,0,FALSE,"",
"45 mph; 75 mph",1,0,FALSE,"",
"30 mph; 50 mph",1,0,FALSE,"",
"40 mpkh",1,0,FALSE,"",
"24",1,0,FALSE,"",
"11 mph",1,0,FALSE,"",
"40 mph;30 mph",1,0,FALSE,"",
"20 mph; 30 mph",1,0,FALSE,"",
"20-",1,0,FALSE,"",
"201",1,0,FALSE,"",
