"value","count","fraction","in_wiki","description","correct"
"driveway",131899,0.4302,TRUE,"A driveway is a service road leading to a residence or business","driveway"
"parking_aisle",128425,0.4189,TRUE,"A parking aisle is a subordinated way in a parking lot between rows of parking spaces that vehicles use to drive into and out of the spaces.","parking_aisle"
"alley",20976,0.0684,TRUE,"An alley is a service road usually located between properties for access to utilities.","alley"
"siding",9871,0.0322,TRUE,"Relatively short lengths of track, running parallel to (and connected to) a main route.","siding"
"yard",4964,0.0162,TRUE,"Tracks within [http://en.wikipedia.org/wiki/Rail_yard rail yards] operated by the same company as one operating main line","yard"
"spur",2987,0.0097,TRUE,"Relatively short lengths of track, built to give one company or entity access to the main line, normally for freight-only use.","spur"
"crossover",1877,0.0061,TRUE,"A railway crossover","crossover"
"drive-through",1756,0.0057,TRUE,"A drive-through way where customers can purchase products without leaving their cars.","drive-through"
"emergency_access",637,0.0021,TRUE,"A way for firefighters to reach a building","emergency_access"
"parking",366,0.0012,FALSE,"",
"bus",354,0.0012,TRUE,"Dedicated bus service lane or road typically found at bus stations","bus"
"layby",279,9e-04,FALSE,"",
"access",257,8e-04,FALSE,"",
"drive",108,4e-04,FALSE,"",
"busway",100,3e-04,FALSE,"",
"garages",87,3e-04,FALSE,"",
"psv",83,3e-04,FALSE,"",
"Birmingham FIZ",75,2e-04,FALSE,"",
"repair",66,2e-04,TRUE,"","repair"
"passenger_ferry",51,2e-04,FALSE,"",
"farm_track",39,1e-04,FALSE,"",
"dealer",37,1e-04,TRUE,"","dealer"
"regional",36,1e-04,FALSE,"",
"feeder",33,1e-04,FALSE,"",
"customer",30,1e-04,FALSE,"",
"city",30,1e-04,FALSE,"",
"disused",29,1e-04,FALSE,"",
"parts",27,1e-04,TRUE,"","parts"
"driveways",26,1e-04,FALSE,"",
"forest access",26,1e-04,FALSE,"",
"country",25,1e-04,FALSE,"",
"dealer;repair",24,1e-04,FALSE,"",
"yes",24,1e-04,FALSE,"",
"commuter",24,1e-04,FALSE,"",
"delivery",22,1e-04,FALSE,"",
"forecourt",21,1e-04,FALSE,"",
"drive_through",20,1e-04,TRUE,"","drive_through"
"bus_turnaround",20,1e-04,FALSE,"",
