"value","count","fraction","in_wiki","description","correct"
"both",44617,0.4728,FALSE,"",
"left",14703,0.1558,FALSE,"",
"none",13492,0.143,FALSE,"",
"no",9572,0.1014,FALSE,"",
"separate",5968,0.0632,TRUE,"","separate"
"right",5262,0.0558,FALSE,"",
"shared",395,0.0042,FALSE,"",
"yes",264,0.0028,FALSE,"",
"mapped",35,4e-04,FALSE,"",
"crossing",14,1e-04,FALSE,"",
"left;separate",7,1e-04,FALSE,"",
"detached",7,1e-04,FALSE,"",
"left:bicycle=yes",5,1e-04,FALSE,"",
"west",3,0,FALSE,"",
"both;none",3,0,FALSE,"",
"right;both",3,0,FALSE,"",
"no_stopping",3,0,FALSE,"",
"sporadic",2,0,FALSE,"",
"left:bicycles=yes",2,0,FALSE,"",
"no; right",2,0,FALSE,"",
"b]",1,0,FALSE,"",
"none;separate",1,0,FALSE,"",
"left;right",1,0,FALSE,"",
"both; right",1,0,FALSE,"",
"both;right",1,0,FALSE,"",
"l",1,0,FALSE,"",
"separate;right",1,0,FALSE,"",
"left;both",1,0,FALSE,"",
"left; both",1,0,FALSE,"",
"both; separate",1,0,FALSE,"",
"separate_double",1,0,FALSE,"",
"none;left",1,0,FALSE,"",
