,roadtype,onewaysummary,junction,sidewalk,leftside,lanes.psv.forward,lanes.forward,lanes.backward,lanes.psv.backward,rightside,count,
4081683,Cycleway,One Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,42,
3444527,Cycleway,Two Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,705,
4338356,Living Street,One Way,no,no,None,0,1,0,0,Lane,1,
4313466,Living Street,Two Way,no,no,None,0,1,1,0,None,43,
3416737,Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,623,
3418635,Main Road - Cycling Allowed,One Way,roundabout,no,None,0,1,0,0,None,135,
3512363,Main Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,90,
3449995,Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,None,40,
3509728,Main Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,Lane,15,
3730254,Main Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,None,13,
31714669,Main Road - Cycling Allowed,One Way,no,right,None,0,1,0,0,None,6,
107296526,Main Road - Cycling Allowed,One Way,no,no,None,1,1,0,0,None,6,
3511571,Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,Lane,4,
3894322,Main Road - Cycling Allowed,One Way,no,no,share_busway,1,1,0,0,None,4,
4311051,Main Road - Cycling Allowed,One Way,roundabout,left,None,0,1,0,0,None,4,
5856820,Main Road - Cycling Allowed,One Way,no,both,None,1,1,0,0,None,2,
31239132,Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,1,None,2,
203794617,Main Road - Cycling Allowed,One Way,no,no,share_busway,1,1,0,0,share_busway,2,
22634491,Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,Lane,1,
95588254,Main Road - Cycling Allowed,One Way,no,no,None,1,1,0,0,Lane,1,
177212283,Main Road - Cycling Allowed,One Way,no,left,None,1,1,0,0,None,1,
193371060,Main Road - Cycling Allowed,One Way,no,left,Lane,0,1,0,0,None,1,
3418636,Main Road - Cycling Allowed,One Way,no,no,None,0,2,0,0,None,56,
3530414,Main Road - Cycling Allowed,One Way,no,left,None,0,2,0,0,None,7,
