"","roadtype","onewaysummary","junction","sidewalk","cycleway.left","lanes.psv.forward","lanes.forward","lanes.backward","lanes.psv.backward","cycleway.right","count"
"2954396","motorway - Cycling Forbidden","One Way","no","no","no",0,3,0,0,"no",63
"2954398","motorway - Cycling Forbidden","One Way","no","no","no",0,4,0,0,"no",21
"3217222","Trunk Road - Cycling Allowed","Two Way","no","no","no",0,2,2,0,"no",74
"3391092","motorway_link - Cycling Forbidden","One Way","no","no","no",0,1,0,0,"no",43
"3391098","motorway - Cycling Forbidden","One Way","no","no","no",0,2,0,0,"no",37
"3391104","motorway_link - Cycling Forbidden","One Way","no","no","no",0,2,0,0,"no",30
"3391107","motorway - Cycling Forbidden","One Way","no","no","no",0,5,0,0,"no",2
"3399171","Trunk Road - Cycling Allowed","One Way","roundabout","no","no",0,2,0,0,"no",85
"3399177","Trunk Road - Cycling Allowed","One Way","no","no","no",0,2,0,0,"no",283
"3416737","Main Road - Cycling Allowed","One Way","no","no","no",0,1,0,0,"no",623
"3416740","Main Road - Cycling Allowed","Two Way","no","no","no",0,1,1,0,"no",696
"3416742","Minor Road - Cycling Allowed","Two Way","no","no","no",0,0,0,0,"no",5368
"3416749","Minor Road - Cycling Allowed","Two Way","no","no","lane",0,1,1,0,"no",11
"3418635","Main Road - Cycling Allowed","One Way","roundabout","no","no",0,1,0,0,"no",135
"3418636","Main Road - Cycling Allowed","One Way","no","no","no",0,2,0,0,"no",57
"3418638","Trunk Road - Cycling Allowed","One Way","no","left","no",0,3,0,0,"no",15
"3418639","Trunk Road Link - Cycling Allowed","One Way","no","no","no",0,1,0,0,"no",46
"3418640","Trunk Road Link - Cycling Allowed","One Way","no","left","no",0,1,0,0,"no",6
"3444527","Cycleway","Two Way","no","Not Applicable","no",0,0,0,0,"no",705
"3445487","Minor Road - Cycling Allowed","One Way","no","no","no",0,0,0,0,"no",726
"3445574","Main Road - Cycling Allowed","Two Way","no","no","lane",0,2,1,0,"lane",3
"3449747","motorway_link - Cycling Forbidden","One Way","no","no","no",0,3,0,0,"no",7
"3449995","Main Road - Cycling Allowed","One Way","no","both","no",0,1,0,0,"no",40
"3508394","Minor Road - Cycling Allowed","One Way","roundabout","no","no",0,1,0,0,"no",36
"3508397","Minor Road - Cycling Allowed","One Way","no","no","no",0,1,0,0,"no",329
"3508420","Residential Road - Cycling Allowed","Two Way","no","no","no",0,1,1,0,"no",7081
"3508421","Main Road - Cycling Allowed","Two Way","no","no","no",0,1,2,0,"no",4
"3508423","Minor Road - Cycling Allowed","Two Way","no","no","no",0,1,1,0,"no",1123
"3509173","Main Road Link - Cycling Allowed","One Way","no","no","no",0,1,0,0,"no",28
"3509728","Main Road - Cycling Allowed","One Way","no","no","lane",0,1,0,0,"lane",15
"3509731","Residential Road - Cycling Allowed","One Way","no","no","no",0,1,0,0,"no",348
"3511571","Main Road - Cycling Allowed","One Way","no","no","no",0,1,0,0,"lane",4
"3511578","Trunk Road Link - Cycling Allowed","One Way","no","no","lane",0,1,0,0,"no",1
"3511958","Minor Road - Cycling Allowed","One Way","no","both","no",0,1,0,0,"no",13
"3512363","Main Road - Cycling Allowed","One Way","no","left","no",0,1,0,0,"no",90
"3526281","Trunk Road - Cycling Allowed","One Way","no","left","no",0,2,0,0,"no",9
"3528791","Minor Road - Cycling Allowed","Two Way","no","no","no",1,1,1,0,"no",8
"3528793","Minor Road - Cycling Allowed","One Way","no","no","no",1,1,0,0,"no",12
"3530414","Main Road - Cycling Allowed","One Way","no","left","no",0,2,0,0,"no",8
"3533039","Main Road - Cycling Allowed","Two Way","no","both","no",0,1,1,0,"no",167
"3533296","Main Road - Cycling Allowed","Two Way","no","no","no",0,1,1,1,"share_busway",2
"3547126","Minor Road - Cycling Allowed","One Way - Two Way Cycling","no","no","no",0,1,1,0,"lane",10
"3547130","Residential Road - Cycling Allowed","One Way","roundabout","no","no",0,1,0,0,"no",8
"3547290","Main Road - Cycling Allowed","Two Way","no","no","share_busway",1,1,1,1,"share_busway",3
"3567401","Minor Road - Cycling Allowed","One Way","no","no","no",0,1,0,0,"lane",9
"3567778","Trunk Road - Cycling Allowed","Two Way","no","both","no",0,2,2,0,"no",3
"3578228","Residential Road - Cycling Allowed","Two Way","no","both","no",0,1,1,0,"no",634
"3730153","Minor Road - Cycling Allowed","Two Way","no","no","lane",0,1,1,0,"lane",7
"3730254","Main Road - Cycling Allowed","One Way","no","no","lane",0,1,0,0,"no",13
"3730325","Main Road - Cycling Allowed","Two Way","no","both","no",0,1,1,1,"share_busway",2
"3730713","Trunk Road - Cycling Allowed","Two Way","no","no","lane",0,2,2,0,"no",1
"3790592","Minor Road - Cycling Allowed","Two Way","no","left","no",0,1,1,0,"no",31
"3791500","Minor Road - Cycling Allowed","Two Way","no","both","no",0,1,1,0,"no",67
"3819569","Minor Road - Cycling Allowed","One Way","no","left","no",0,1,0,0,"no",19
"3871959","Main Road - Cycling Allowed","One Way","no","no","lane",0,2,0,0,"lane",1
"3871962","Main Road - Cycling Allowed","Two Way","no","both","lane",0,1,1,0,"lane",11
"3877196","Main Road - Cycling Allowed","Two Way","no","no","lane",0,1,1,0,"no",22
"3894322","Main Road - Cycling Allowed","One Way","no","no","share_busway",1,1,0,0,"no",4
"4002513","Main Road - Cycling Allowed","One Way","roundabout","no","no",0,3,0,0,"no",10
"4002663","Trunk Road Link - Cycling Allowed","One Way","no","no","no",0,2,0,0,"no",9
"4002665","Trunk Road - Cycling Allowed","Two Way","no","left","no",0,2,2,0,"no",3
"4002679","Trunk Road - Cycling Allowed","Two Way","no","no","no",0,1,1,0,"no",24
"4002730","Main Road Link - Cycling Allowed","One Way","no","no","no",0,2,0,0,"no",6
"4002737","Trunk Road - Cycling Allowed","One Way","no","no","no",0,3,0,0,"no",15
"4002766","Trunk Road - Cycling Allowed","Two Way","no","no","share_busway",1,1,2,1,"no",1
"4003166","Trunk Road - Cycling Allowed","One Way","no","no","no",0,4,0,0,"no",7
"4007141","Trunk Road - Cycling Allowed","One Way","no","no","no",0,1,0,0,"no",26
"4013386","Residential Road - Cycling Allowed","Two Way","no","no","no",0,1,0,0,"no",9
"4019152","Segregated Cycleway","Two Way","no","Not Applicable","no",0,0,0,0,"no",80
"4019154","Shared Path","Not Applicable","no","Not Applicable","no",0,0,0,0,"no",7426
"4019258","Path - Cycling Forbidden","Not Applicable","no","Not Applicable","no",0,0,0,0,"no",868
"4019352","Main Road - Cycling Allowed","One Way - Two Way Cycling","no","both","lane",0,1,1,0,"lane",1
"4019424","Minor Road - Cycling Allowed","Two Way","no","no","no",0,1,1,0,"lane",3
"4078708","Minor Road - Cycling Allowed","One Way","no","no","no",1,0,0,0,"lane",2
"4081677","Main Road - Cycling Allowed","Two Way","no","no","no",1,1,1,0,"no",4
"4081683","Cycleway","One Way","no","Not Applicable","no",0,0,0,0,"no",42
"4234850","Residential Road - Cycling Allowed","One Way","no","left","no",0,1,0,0,"no",23
"4296144","Trunk Road Link - Cycling Allowed","One Way","no","no","no",0,1,0,0,"lane",1
