id,quietness,speed,pause,cyclable,walkable
3399171,10,24,6,1,0
3399177,20,24,0,1,0
3399180,10,24,6,1,0
3399181,20,24,0,1,0
3399183,20,24,0,1,0
3399184,20,24,0,1,0
3399185,25,24,0,1,0
3416734,10,24,6,1,0
3416737,60,24,0,1,1
3416738,60,24,0,1,1
3416740,60,24,0,1,1
3416742,60,20,0,1,1
3416743,20,24,0,1,0
3416744,20,24,0,1,0
3416746,20,24,0,1,0
3416749,75,27,0,1,1
3444375,13,24,6,1,0
3444524,13,24,6,1,0
3444527,100,27,0,1,1
3444610,100,27,0,1,1
3444972,10,24,6,1,0
3444973,20,24,0,1,0
3444974,20,24,0,1,0
3445487,60,20,0,1,1
3445488,10,24,6,1,0
3445489,25,24,0,1,0
3445490,25,24,0,1,0
3445574,90,30,0,1,0
3445575,70,24,0,1,0
3508392,50,24,0,1,0
3508394,90,24,0,1,0
3508395,60,20,0,1,1
3508397,90,24,0,1,1
3508398,50,24,0,1,0
3508399,50,24,0,1,0
3508400,70,24,0,1,1
3508401,90,24,0,1,1
3508420,80,24,0,1,1
3508421,50,24,0,1,0
3508422,90,24,0,1,0
3508423,90,24,0,1,1
3508424,90,24,0,1,1
3508490,13,24,6,1,0
3508532,50,24,0,1,0
3508533,50,24,0,1,0
3508535,100,27,0,1,1
3509171,20,24,0,1,0
3509173,25,24,0,1,0
3509187,20,24,0,1,0
3509727,15,24,0,1,0
3509728,35,27,0,1,0
3509729,80,24,0,1,1
3509730,70,24,0,1,1
3509731,80,24,0,1,1
3509748,25,24,0,1,0
3511289,80,24,0,1,1
3511571,90,27,0,1,1
3511572,80,24,0,1,1
3511573,10,24,6,1,0
3511574,80,24,0,1,1
3511578,30,27,0,1,0
3511616,20,24,0,1,0
3511958,90,24,0,1,1
3512235,90,24,0,1,1
3512236,80,24,0,1,1
3512363,60,24,0,1,1
3512364,60,24,0,1,1
3512365,70,24,0,1,1
3512366,80,24,0,1,1
3526419,20,24,0,1,0
3526934,20,24,0,1,0
3526935,20,24,0,1,0
3526937,20,24,0,1,0
3526938,20,24,0,1,0
3526939,20,24,0,1,0
3526941,20,24,0,1,0
3527218,20,24,0,1,0
3527219,20,24,0,1,0
3527220,40,24,0,1,0
3528789,45,24,0,1,0
3528790,45,24,0,1,0
3528793,45,24,0,1,1
3528921,13,24,6,1,0
3528922,13,24,6,1,0
3532876,25,24,0,1,0
3533296,45,24,0,1,0
3547079,25,24,0,1,0
3547080,25,24,0,1,0
3547081,25,24,0,1,0
3547082,25,24,0,1,0
3547083,25,24,0,1,0
3547084,25,24,0,1,0
3547085,45,24,0,1,0
3547126,90,24,0,1,1
3547128,70,24,0,1,0
3547129,60,24,0,1,1
3547130,80,24,0,1,0
3547157,50,24,0,1,0
3547196,25,24,0,1,0
3547282,35,27,0,1,0
3547283,80,24,0,1,1
3547284,45,24,0,1,0
3547288,35,27,0,1,0
3547289,25,24,0,1,0
3547290,25,24,0,1,0
3548852,60,24,0,1,1
3552205,25,24,0,1,0
3552206,25,24,0,1,0
3552302,45,24,0,1,0
3552303,45,24,0,1,0
3552330,45,24,0,1,0
3552331,45,24,0,1,0
3563069,90,24,0,1,1
3564729,60,24,0,1,0
3564730,60,24,0,1,1
3564778,80,24,0,1,1
3564779,70,26,0,1,1
3564780,90,24,0,1,1
3564781,90,24,0,1,1
3567398,70,24,0,1,1
3567399,90,24,0,1,1
3567401,80,27,0,1,1
3567402,25,24,0,1,0
3567502,45,24,0,1,0
3567503,25,24,0,1,0
3567504,25,24,0,1,0
3567614,13,24,6,1,0
3567616,35,27,0,1,0
3567617,45,24,0,1,0
3567768,13,24,6,1,0
3567769,25,24,0,1,0
3567770,25,24,0,1,0
3567771,25,24,0,1,0
3567772,25,24,0,1,0
3567773,15,24,0,1,0
3567775,25,24,0,1,0
3567776,15,24,0,1,0
3567778,20,24,0,1,0
3567959,50,24,0,1,1
3567960,50,24,0,1,1
3575434,10,24,6,1,0
3575435,20,24,0,1,0
3575436,20,24,0,1,0
3575439,20,24,0,1,0
3575440,20,24,0,1,0
3575454,15,24,0,1,0
3575455,15,24,0,1,0
3575456,25,24,0,1,0
3575458,10,24,6,1,0
3575459,10,24,6,1,0
3575460,20,24,0,1,0
3575461,20,24,0,1,0
3575462,20,24,0,1,0
3575463,20,24,0,1,0
3575467,10,24,6,1,0
3575470,20,24,0,1,0
3575471,20,24,0,1,0
3575493,45,24,0,1,0
3575502,100,27,0,1,1
3575503,100,27,0,1,1
3575515,60,24,0,1,1
3578226,80,24,0,1,1
3578228,80,24,0,1,1
3578229,80,24,0,1,1
3578233,25,24,0,1,0
3578235,70,24,0,1,0
3578237,70,24,0,1,0
3730153,80,27,0,1,1
3730252,25,24,0,1,0
3730254,35,27,0,1,0
3730325,45,24,0,1,0
3730328,45,24,0,1,0
3730643,25,24,0,1,0
3730713,30,27,0,1,0
3746648,90,24,0,1,1
3746649,90,24,0,1,1
3787993,60,24,0,1,1
3788142,60,24,0,1,1
3791512,70,24,0,1,1
3791514,70,24,0,1,1
3791515,75,30,0,1,1
3791516,50,24,0,1,1
3791517,50,24,0,1,1
3791519,50,24,0,1,0
3791520,50,24,0,1,0
3872205,20,24,0,1,0
3877196,80,27,0,1,0
3877197,70,24,0,1,0
3877202,50,24,0,1,0
3877709,80,24,0,1,1
3877711,80,24,0,1,1
3877712,80,24,0,1,1
3877713,80,24,0,1,1
3877714,70,24,0,1,1
3877715,70,24,0,1,1
3877718,70,24,0,1,1
3878216,70,24,0,1,0
3878218,70,24,0,1,1
3878220,70,24,0,1,1
3878221,70,24,0,1,0
3878224,60,24,0,1,1
3878225,80,24,0,1,1
3878226,80,24,0,1,1
3878227,80,24,0,1,1
3878478,70,24,0,1,0
3878479,80,24,0,1,1
3878481,80,24,0,1,1
3878482,80,24,0,1,1
3878484,80,24,0,1,1
3894321,45,24,0,1,0
3894322,45,24,0,1,0
3894575,70,24,0,1,0
3994822,90,24,0,1,1
3994824,25,24,0,1,0
3994825,25,24,0,1,0
4002663,20,24,0,1,0
4002664,25,24,0,1,0
4002665,20,24,0,1,0
4002666,20,24,0,1,0
4002679,20,24,0,1,0
4002721,25,24,0,1,0
4002722,20,24,0,1,0
4002730,35,24,0,1,0
4002731,45,24,0,1,0
4002732,45,24,0,1,0
4002733,25,24,0,1,0
4002737,20,24,0,1,0
4002740,80,24,0,1,1
4002766,20,24,0,1,0
4002782,50,24,0,1,0
4002783,50,24,0,1,0
4002819,25,24,0,1,0
4003165,40,24,0,1,0
4003166,20,24,0,1,0
4003167,90,24,0,1,1
4003168,60,24,0,1,1
4003170,70,24,0,1,1
4003171,90,24,0,1,1
4003172,90,24,0,1,1
4003174,50,24,0,1,0
4003175,70,24,0,1,0
4003176,70,24,0,1,1
4003178,90,24,0,1,1
4003180,70,24,0,1,1
4003181,90,24,0,1,1
4003185,45,24,0,1,0
4003453,60,20,0,1,1
4006391,25,24,0,1,0
4006392,15,24,0,1,0
4007141,20,24,0,1,0
4012533,70,24,0,1,1
4013075,80,24,0,1,1
4013076,60,24,0,1,1
4013153,60,24,0,1,1
4013154,80,24,0,1,1
4013172,13,24,6,1,0
4013173,25,24,0,1,0
4013204,50,24,0,1,0
4013205,60,20,0,1,1
4013271,80,24,0,1,1
4013272,80,24,0,1,1
4013273,80,24,0,1,1
4013274,90,24,0,1,1
4013275,90,24,0,1,1
4013276,90,24,0,1,1
4013277,90,24,0,1,1
4013278,100,27,0,1,1
4013279,80,24,0,1,1
4013281,80,24,0,1,1
4013282,50,24,0,1,0
4013285,80,24,0,1,1
4013287,90,24,0,1,1
4013288,70,24,0,1,1
4013378,25,24,0,1,0
4013379,70,24,0,1,1
4013380,70,24,0,1,0
4013381,50,24,0,1,0
4013382,60,27,0,1,0
4013383,50,24,0,1,0
4013384,80,24,0,1,1
4013386,80,24,0,1,1
4013387,80,24,0,1,1
4013397,80,24,0,1,1
4013398,80,24,0,1,1
4013399,80,24,0,1,1
4013401,80,24,0,1,1
4013402,80,24,0,1,1
4013457,50,24,0,1,0
4013458,50,24,0,1,0
4013460,50,24,0,1,0
4013461,50,24,0,1,0
4019152,100,29,0,1,1
4019154,50,6,0,0,1
4019214,50,6,0,0,1
4019216,70,24,0,1,1
4019252,50,6,0,0,1
4019253,50,6,0,0,1
4019254,50,6,0,0,1
4019255,50,6,0,0,1
4019256,50,6,0,0,1
4019257,50,6,0,0,1
4019258,25,1,15,0,1
4019259,50,6,0,0,1
4019260,50,6,0,0,1
4019261,50,6,0,0,1
4019262,50,6,0,0,1
4019263,50,6,0,0,1
4019264,50,6,0,0,1
4019278,50,6,0,0,1
4019279,50,6,0,0,1
4019280,50,6,0,0,1
4019281,50,6,0,0,1
4019282,50,6,0,0,1
4019283,50,6,0,0,1
4019284,50,6,0,0,1
4019285,50,6,0,0,1
4019286,50,6,0,0,1
4019287,50,6,0,0,1
4019288,50,6,0,0,1
4019343,25,24,0,1,0
4019344,55,27,0,1,0
4019345,45,24,0,1,0
4019346,45,24,0,1,0
4019347,70,24,0,1,1
4019348,70,24,0,1,0
4019349,70,24,0,1,0
4019350,50,24,0,1,0
4019352,90,27,0,1,1
4019354,60,24,0,1,1
4019424,80,27,0,1,1
4019478,90,24,0,1,1
4019479,70,24,0,1,1
4019481,60,24,0,1,1
4019483,60,24,0,1,1
4019484,60,24,0,1,1
4019485,25,24,0,1,0
4019486,70,24,0,1,1
4019487,90,24,0,1,1
4019488,25,24,0,1,0
4019489,25,24,0,1,0
4019490,25,24,0,1,0
4019491,25,24,0,1,0
4035390,25,24,0,1,0
4035392,80,24,0,1,1
4035393,25,24,0,1,0
4035547,70,24,0,1,1
4036212,70,24,0,1,1
4036216,70,24,0,1,1
4036217,80,24,0,1,1
4036218,80,24,0,1,1
4036219,80,24,0,1,1
4036220,80,24,0,1,1
4036221,80,24,0,1,1
4036222,80,24,0,1,1
4036223,80,24,0,1,1
4036224,80,24,0,1,1
4036225,80,24,0,1,1
4036227,60,24,0,1,1
4036228,25,24,0,1,0
4036229,13,24,6,1,0
4036230,80,24,0,1,1
4036231,80,24,0,1,1
4036233,80,24,0,1,1
4036234,80,24,0,1,1
4036235,80,24,0,1,1
4036540,60,24,0,1,1
4036545,60,24,0,1,1
4037108,25,24,0,1,0
4037111,25,24,0,1,0
4066900,13,24,6,1,0
4066901,35,27,0,1,0
4066902,25,24,0,1,0
4066903,25,24,0,1,0
4067393,60,20,0,1,1
4067394,42,12,10,1,1
4067395,60,24,0,1,1
4067398,25,24,0,1,0
4067402,90,24,0,1,1
4067403,70,24,0,1,1
4067404,90,24,0,1,1
4067406,80,24,0,1,1
4067407,80,24,0,1,1
4067408,80,24,0,1,1
4067409,80,24,0,1,1
4067410,80,24,0,1,1
4067411,80,24,0,1,1
4067412,80,24,0,1,1
4067414,80,24,0,1,1
4067415,70,24,0,1,1
