nodeId,joinsLegs,longitude,latitude
104804,3,-2.584870,51.463005
104805,4,-2.582119,51.464669
104806,3,-2.580688,51.466000
104808,4,-2.586081,51.463919
104812,3,-2.580726,51.463967
104813,3,-2.579031,51.463113
104814,3,-2.579704,51.463454
104815,3,-2.578339,51.464461
104816,3,-2.578090,51.465220
104818,3,-2.577438,51.466342
104819,3,-2.579786,51.466525
104826,3,-2.578898,51.467411
104829,3,-2.580719,51.461573
104833,3,-2.586649,51.464346
104837,3,-2.587217,51.461798
104838,4,-2.588729,51.461062
104841,3,-2.588303,51.465938
104853,3,-2.590734,51.455643
104854,4,-2.585900,51.457063
104855,2,-2.586725,51.458293
104857,3,-2.589809,51.458517
104859,3,-2.591434,51.457087
104862,3,-2.581708,51.454647
104863,3,-2.581994,51.455152
104864,2,-2.580218,51.455763
104871,2,-2.580967,51.448277
104873,3,-2.575990,51.449653
104874,5,-2.575464,51.448788
104881,4,-2.574303,51.452441
104884,3,-2.579152,51.455640
104886,3,-2.580721,51.471049
104903,3,-2.591487,51.474574
104905,2,-2.589432,51.479497
104908,5,-2.585389,51.486956
104911,3,-2.574431,51.494562
104912,3,-2.572868,51.496993
104917,4,-2.571014,51.500173
104918,3,-2.567436,51.503506
127066,3,-2.616633,51.420875
127067,3,-2.614237,51.425300
127069,3,-2.613807,51.429179
127070,3,-2.612430,51.431126
127071,2,-2.612142,51.431499
127074,3,-2.609766,51.433129
127075,4,-2.611444,51.433474
127078,5,-2.606271,51.432210
127080,3,-2.611567,51.436192
127081,3,-2.612188,51.436484
127083,3,-2.614717,51.438000
127086,3,-2.612204,51.438659
127152,3,-2.598878,51.435626
127155,3,-2.590862,51.436415
127157,4,-2.584302,51.437477
127158,3,-2.582864,51.438254
127159,3,-2.582263,51.439055
127160,3,-2.582073,51.440050
127161,3,-2.581950,51.440487
127163,2,-2.584551,51.443493
127406,3,-2.690214,51.424100
127750,2,-2.561019,51.420177
127754,4,-2.563911,51.427633
127758,3,-2.566591,51.434379
127759,3,-2.569734,51.437258
127761,2,-2.556152,51.430128
127762,3,-2.572259,51.438579
127764,3,-2.578013,51.441857
127767,3,-2.578828,51.445158
127880,3,-2.607478,51.435323
127882,2,-2.603587,51.437916
127884,3,-2.600961,51.439731
127885,3,-2.600256,51.438250
127886,4,-2.599526,51.437985
127889,2,-2.595379,51.441096
216520,3,-2.528423,51.426975
216521,3,-2.528619,51.427020
216522,2,-2.533573,51.428220
216524,2,-2.542642,51.430333
216526,4,-2.543656,51.430651
216542,3,-2.549055,51.434150
216554,4,-2.560743,51.441948
216566,4,-2.569803,51.454082
216567,2,-2.568659,51.452809
216573,2,-2.561883,51.447926
216575,3,-2.560694,51.446071
216581,3,-2.571551,51.458175
216582,2,-2.570756,51.456716
216585,3,-2.571745,51.458247
216586,3,-2.574037,51.458137
216601,4,-2.579943,51.456472
309484,3,-2.528277,51.505754
309485,3,-2.528607,51.505169
309488,2,-2.528575,51.505108
309489,2,-2.526826,51.504640
309490,2,-2.528061,51.505796
343844,4,-2.599931,51.418555
