nodeId,joinsLegs,longitude,latitude
104520,3,0.131216,52.195125
104521,3,0.123448,52.203532
104522,3,0.123034,52.204034
104523,3,0.121804,52.205293
104524,3,0.121364,52.205374
104525,3,0.120605,52.206162
104526,3,0.120045,52.206992
104527,3,0.118507,52.208411
104528,3,0.117970,52.207687
104529,3,0.118233,52.206453
104530,3,0.117929,52.205496
104531,4,0.118897,52.205611
104533,2,0.121309,52.207196
104534,3,0.123506,52.207365
104540,3,0.117877,52.208937
104541,4,0.117530,52.209197
104542,4,0.118297,52.210401
104543,3,0.119144,52.210050
104549,3,0.122338,52.203268
104550,3,0.120612,52.202832
104551,4,0.118065,52.201921
104552,3,0.117732,52.202383
104554,4,0.115021,52.210738
104558,4,0.110412,52.210544
104567,4,0.111275,52.205752
104570,3,0.105457,52.202605
104571,3,0.112040,52.203016
104572,4,0.113064,52.200631
104573,3,0.113649,52.200881
104575,2,0.115276,52.201854
104576,4,0.105912,52.205881
104578,4,0.098968,52.206808
104581,3,0.103421,52.211366
104582,3,0.099383,52.211919
104583,3,0.097399,52.211953
104584,3,0.093821,52.212562
104585,4,0.091699,52.212663
104586,3,0.096752,52.207765
104587,3,0.094115,52.207989
104588,3,0.093872,52.208148
215065,2,0.295200,52.178571
215066,3,0.295024,52.178635
215998,3,0.248934,52.155535
216011,3,0.237330,52.147934
216083,3,0.232602,52.145097
216090,3,0.228584,52.138315
216186,3,0.225607,52.132890
216187,3,0.225401,52.132914
216237,3,0.217675,52.123600
216240,3,0.217513,52.122913
231483,3,0.081049,52.232269
231497,3,0.151577,52.243440
231500,4,0.164493,52.248905
231510,0,0.074005,52.191945
231535,0,0.096913,52.163854
231550,3,0.112642,52.171563
328561,3,0.104026,52.160935
328562,3,0.104653,52.160497
328564,0,0.096846,52.164051
328566,2,0.102658,52.160513
328567,2,0.103976,52.159739
328568,3,0.102306,52.159867
328569,3,0.102950,52.159478
328570,2,0.103055,52.160765
328571,2,0.104334,52.159978
328593,0,0.077589,52.210849
328598,0,0.074664,52.227107
328619,3,0.071492,52.230869
489706,3,0.190190,52.187456
489709,3,0.185524,52.188526
489710,3,0.182894,52.189661
