osm_id,aadt
3391098,17987
3391105,93994
3391107,108091
3391109,17002
3391111,93994
3391114,93994
3391115,93994
3444375,18448
3444973,11760.5
3444974,12911.333333333334
3445488,37736.5
3445489,8827
3445490,8827
3470249,93994
3470250,93994
3508489,78067
3508490,37876
3508534,78067
3509256,78067
3509727,38768
3509728,37876
3509748,19216
3511573,35595
3511578,40590
3511616,30600
3526934,53468
3526935,53468
3526939,42103
3526941,30600
3527218,42103
3527220,43616
3528789,27405
3528790,20743.333333333332
3528793,27405
3528921,17969
3528922,23404
3532875,23404
3532876,23404
3533296,21362
3547080,14990.5
3547081,7129
3547082,13927.333333333334
3547083,18448
3547084,14990.5
3547085,9522.5
3547196,9522.5
3547284,11275
3547289,17507
3547290,11275
3552206,14855
3552302,24755
3552303,24755
3552330,24755
3552331,24755
3567402,17680
3567502,16416
3567503,10487
3567504,10487
3567769,26729
3567770,26729
3567771,26729
3567772,26729
3567773,32748.5
3567775,26729
3567778,21822
3575439,34808
3578233,13111
3730252,13184
3730254,13184
3730325,13184
3730328,27405
3730643,5249
3730646,15573
3730647,15573
3730661,18561
3730662,18561
3730665,10878
3730675,10878
3730676,10878
3730677,10878
3730678,10878
3730713,22943
3878216,16878
3878216,16878
3894321,19591.5
3894322,19591.5
3994824,13459
3994825,13459
4002665,30847
4002666,30847
4002721,9628.5
4002722,34799
4002730,13184
4002731,13184
4002732,17412.5
4002733,13184
4002737,53945
4002766,22943
4002780,20149
4003165,10424
4003166,18523.5
4003185,24755
4006391,17969
4006392,23404
4013173,17050
4013378,17680
4019343,12660
4019344,12660
4019345,12660
4019346,19591.5
4019485,22007
4019488,26729
4019489,26729
4019490,26729
4019491,26729
4035390,22007
4035393,22007
4036228,22007
4067422,10295
4067424,10237
4264144,30876
4264146,14348
4273219,17050
4293772,13111
4295479,1064
4315062,24755
4316189,13111
4316810,13111
4316811,21362
4323946,17987
4333386,22841
4355561,5249
4355564,5249
4355565,6186
4355567,23404
4355568,23404
4435554,16109
4435555,15465
4436940,15253
4444527,15828.5
4492066,93994
4494457,22841
4494634,21098
4494635,22841
4494636,21098
4494637,22841
4494638,21098
4692312,339
4740171,6883
4740543,30433
4745119,609
4745120,609
4757326,10237
4757327,10237
4775930,21996
4775931,18842
4775947,17563
4775948,17563
4775949,17563
4821747,10487
4854333,2215
4856993,19355
4856997,19355
4857011,19355
4857655,3591
4862684,10237
4866740,29680
4866742,29680
4885953,15253
5000586,10878
5063293,1408
5063294,1408
5067315,21822
5552759,671
5552765,671
5552771,671
5994364,23404
5994367,23404
7984464,23030.5
8026579,539
8384493,499
8393337,15213
10476672,266
12695757,11537
12855245,10743.5
15527384,17680
15926043,238
16762705,160
17447924,928
19206389,75473
19206391,75473
20007284,951
22635085,93994
22635087,93994
22635088,93994
22663249,24755
22663542,23404
22663543,23404
22674029,17680
22674031,17680
22694519,10878
22887921,24755
22887922,24755
22988928,13184
22988935,30600
23352452,986
23391592,6305
23422043,16478
23422044,21098
23422047,16478
23457878,34808
23783471,12838.5
24038201,75473
24038202,75473
24038204,78067
24038271,40590
24038272,30600
24038273,30600
24038274,30600
24041615,30600
24041616,30600
24041617,30600
24041618,30600
24041769,26729
24041771,26729
24041776,26729
24041777,26729
24042047,27858
25118548,23030.5
25118551,24239
25118559,23030.5
25118725,23404
25662014,20743.333333333332
25662319,20449.333333333332
25663572,13111
25663687,21362
25664468,21362
25665906,44597
25683828,17558
25683883,34799
25684391,9628.5
25684406,24504.5
25690973,34799
25724277,4385
25724277,1942
25876117,231
26119520,6434
26390045,57296
26390125,22943
26471151,17494.5
26471160,17987
26471476,10878
27035591,53945
27036249,10295
27036257,10295
27326073,40590
27376487,294
27429941,1715
27429948,1715
27488467,53468
27510302,928
30216872,10424
30216874,10424
30797887,6974
31239132,10487
31714669,13111
31714676,21362
31714695,21362
31726979,27858
31727028,21822
31754008,49554
32024083,6305
32229339,75473
32339453,15465
32339454,15465
32846116,34464
32846119,34578.666666666664
32846121,34578.666666666664
32846127,34808
32846130,34808
32846133,21996
32846135,21996
32846138,24239
32846139,24239
32846141,23030.5
32846142,23030.5
32846143,23030.5
32846145,21822
32846146,21822
32846148,21822
32846149,30876
32846150,27858
32846153,13459
32846154,10424
33129914,27405
33711212,17563
33711213,17563
33711214,17563
33711215,17563
33711217,17563
33711221,17563
33711222,17563
33711223,17563
33711224,17563
33720050,10424
33720051,37876
33720052,30454.666666666668
33720053,37876
33720054,35595
33720055,35595
33720056,35595
33720381,19493
33720382,14990.5
33720383,19493
33720385,19493
33720595,13927.333333333334
33720596,11567
33876706,15213
34508994,13184
34639901,26729
34639902,26729
34639903,26729
34639905,26729
35735344,78067
36990372,24755
36990479,24755
36996492,24755
36996524,24755
36996535,24755
37031480,24755
37281216,27405
37282832,42103
37282864,43616
37283065,19591.5
37283067,19591.5
37283282,13184
37283365,13184
37283748,4385
37354481,44597
37354482,19591.5
37354497,24755
37354498,20743.333333333332
37354502,44597
37372355,24755
37372545,30600
38696437,11275
38696931,24755
38696932,19591.5
38696934,19591.5
38966223,27405
38966429,21362
39019957,16109
39019958,10424
39020137,19713.5
39020683,24755
39020684,24755
39020685,24755
39020690,19591.5
39020691,24785
39247608,19591.5
39247714,40590
39597833,24755
40781624,16478
40787238,482
41554106,13111
41554124,24755
42240255,583
42465505,19493
42465506,7129
42465507,10999
42465508,13927.333333333334
42465509,18448
42467085,19493
42467086,18448
42467088,18448
42878548,19591.5
42878554,20449.333333333332
42899134,10488
43549285,30847
43945939,13184
46584298,15573
46584300,15573
49605950,10487
57018474,14855
57018480,17050
57018481,17050
57018482,17050
57018804,15222
66554018,19355
66554029,16478
68925155,93994
68925159,93994
68925160,93994
68925162,93994
68925164,93994
68925173,93994
69590808,13184
69590815,13184
69590816,13184
70483281,22943
70608214,34799
70608224,34799
75125855,20323
75125856,18650.333333333332
79371354,583
79371355,583
80129970,15305
82650540,24755
82650542,24755
82650543,21362
83534240,23404
83535895,1715
84192334,75473
84192336,75473
84587663,12660
84587667,17050
85445262,12660
85445263,12660
85445265,12660
85514951,12660
85514954,12660
85514958,12660
85514959,12660
85514963,12660
85525222,108091
85525223,108091
85525224,108091
85525225,108091
87098051,17439.25
87223288,30600
87945184,10295
90133194,15305
90133202,15305
90145492,20149
90145494,20149
90145499,20149
90145510,20149
90145519,20149
90145523,20149
90145526,20149
94524265,15253
102623409,22841
102623417,22841
103847858,23030.5
105668619,22943
105728411,8488
105728411,8488
106084552,37876
106516440,21996
106516462,21996
106759141,15163.5
107039054,19355
107039055,3591
107039064,19355
107039072,19355
107039086,19355
107254986,21996
107296519,7129
107296526,9522.5
107296529,11916
107296536,9522.5
107296541,9522.5
107296546,37876
107296548,38768
107437537,10424
107437550,10424
107437561,10424
107440994,17558
107460369,21996
107460374,18842
107483716,15222
107483727,21822
107585045,18448
107585059,19216
107813253,18459
108234591,42103
108842670,12660
108842671,19591.5
108842672,19591.5
108842673,19591.5
112682601,35595
112748673,19591.5
112748674,19591.5
112748680,12660
117066428,40590
117084107,19355
120458940,15222
121381300,12911.333333333334
121381301,13459
121381302,11760.5
121381306,12911.333333333334
121381313,12911.333333333334
121389308,13459
125811742,26729
125811743,26729
125811744,26729
125811745,26729
126355312,12911.333333333334
126832771,10424
127990272,10237
127990273,10237
127990279,6883
128223818,37876
128539407,27858
128539410,11760.5
128539417,11760.5
128539419,27858
128805727,16478
131182482,17507
131182483,20302.5
131182487,17507
131182489,11916
132609642,93994
132609656,93994
132609687,108091
133390088,21098
133390089,21098
133390507,28402
133390508,21996
133390509,28402
133390817,34578.666666666664
133390818,34464
133390819,34464
133390820,34808
133391622,75473
133391624,78067
133451802,10878
133638236,30847
133638238,22943
133638239,30847
135422563,13184
136938082,14348
136938083,14348
136938085,14348
138179296,13184
138265476,15253
143866633,17969
145251209,93994
145251210,93994
145251211,93994
145251212,93994
145816660,15213
145816712,22841
146712436,6253
146982473,10878
146982474,10878
146982480,10878
146982487,10878
146982491,10878
146982494,10878
151609547,75473
151609553,75473
152284442,11760.5
152285013,12911.333333333334
154493904,13064
154676285,18720
154676296,10424
154676297,18720
154676298,18720
156201908,15222
156453775,339
157061628,30600
158417047,93994
158715723,26729
159023238,19591.5
159956816,24755
160723553,17680
160723554,17680
162281034,21362
163655786,13184
163658956,22943
164051498,22943
164051501,22943
164416733,23030.5
164606291,10878
172215031,5249
172215032,5249
173587173,34808
173587174,27405
173587175,15213
173587177,5374
177054144,23404
177054145,23404
177209531,12660
177209532,12660
177209533,12660
177209534,12660
177209535,12660
177209536,12660
177209537,12660
177209538,12660
177209539,12660
177209540,12660
177209541,12660
177209542,12660
177209543,12660
177209544,12660
177400761,15305
177586092,17412.5
177586093,20449.333333333332
177586104,20449.333333333332
177586105,17412.5
177588503,13459
177588504,13459
177588511,6974
177588533,44597
177758757,13111
177792937,22111
177804473,18523.5
180662479,10424
184004477,19355
184791112,17987
186264732,17558
188001747,24755
189149994,14855
189149995,14855
189149996,14855
189149997,14855
189149998,14855
189149999,14855
189150000,14855
189150001,14855
189600034,30876
189600038,35595
189600039,23030.5
189601452,27405
191318878,9330
193014373,17969
193358600,21362
193371060,21362
194944264,43616
194944269,43616
200338448,23404
200338450,23404
200338451,23404
200338453,23404
200508419,20149
200509962,2026
200678761,10878
200678762,10878
202755219,6974
202755220,12660
202755223,19591.5
202755224,19591.5
202760206,19355
202760209,21098
202760210,23404
202760213,23404
202760216,21098
202760220,23404
202760224,19355
202760226,23404
202760229,10424
202760235,21098
202760236,17439.25
202760237,23404
202760238,23404
202761559,12660
202761561,19591.5
202761563,19493
202761569,35595
202761588,14855
202761590,20449.333333333332
202761594,40590
202761600,10424
202761601,14855
202761610,35595
203007430,12660
203007433,19591.5
203007436,12660
203007442,12660
203009202,15222
203009217,4841
203016817,17969
203016822,21362
203016833,19591.5
203016837,23404
203016840,23404
203016841,17969
203022638,35595
203022639,40590
203022640,43616
203022642,35595
203022643,43616
203022646,22111
203022648,10237
203026158,24755
203027252,14855
203027253,17969
203027254,17969
203028791,14348
203032218,11275
203032337,19493
203035034,21362
203035036,19591.5
203035037,17969
203099473,17680
203103997,11275
203104002,11275
203105136,19493
203114739,19355
203114745,21098
203114748,17309
203114752,16265.5
